,Date,Open,High,Low,Close,Volume
0,2016-01-04,52.83019231719262,52.96053129021064,51.30958643371865,51.74404525756836,16928063
1,2016-01-05,51.70060685664871,51.91783629722286,51.13580898529263,51.309593200683594,21783969
2,2016-01-06,51.30959165590632,51.30959165590632,50.310338248144646,50.78824234008789,28939550
3,2016-01-07,50.65789656546301,50.65789656546301,49.26762969980925,49.83242416381836,39962301
4,2016-01-08,49.52830933615437,50.136552394442255,49.397970354143396,49.9193229675293,25450734
5,2016-01-11,49.44141794997005,49.48486317159392,48.6593907021087,49.13729476928711,24356269
6,2016-01-12,49.35452382458916,49.528308024448634,48.92006498226944,49.093849182128906,17649886
7,2016-01-13,49.52830665492777,49.96276548523415,49.311077239774576,49.65864562988281,11848432
8,2016-01-14,49.09384733743217,49.26763153076172,48.52904953777559,49.26763153076172,15487360
9,2016-01-15,49.61519660276303,49.962764989422126,48.87661792443468,49.26763153076172,20847878
10,2016-01-18,48.57250143976967,49.788984248103105,48.48560767975141,49.61520004272461,13014340
11,2016-01-19,49.528303587801076,49.74553298950195,49.22418375128289,49.74553298950195,8110815
12,2016-01-20,49.39796744343641,49.39796744343641,48.31182037287134,48.5724983215332,22688368
13,2016-01-21,48.74628179509245,48.920065998562215,48.31182294374704,48.4856071472168,10450055
14,2016-01-22,48.96351056813371,49.18073999091098,48.6593907021087,49.13729476928711,13943516
15,2016-01-25,49.528306280357256,50.223439740658776,49.528306280357256,50.00621032714844,12773195
16,2016-01-26,49.5283088684082,49.658647849188256,49.26763422150607,49.5283088684082,7583870
17,2016-01-27,49.87587195638553,49.919317173794184,49.48485837039242,49.74553298950195,9101121
18,2016-01-28,49.65864525432658,50.17999452088827,49.528306280357256,50.00621032714844,10224860
19,2016-01-29,49.96276726156979,51.353034242115505,49.745537838693394,51.266143798828125,20207611
20,2016-01-30,51.778804779052734,51.778804779052734,51.778804779052734,51.778804779052734,0
21,2016-02-01,51.70060003811494,51.78749047702177,51.35303165317207,51.74404525756836,7967600
22,2016-02-02,51.65715666560694,51.744047107620446,51.266143047230386,51.57026290893555,4584277
23,2016-02-03,51.26613961507085,51.48336902021945,50.91857124097001,51.222694396972656,6990419
24,2016-02-15,50.65790075184265,51.353034242115505,50.48411655060995,51.266143798828125,7221411
25,2016-02-16,51.353030690495345,52.43917772975843,51.353030690495345,52.35228729248047,17822419
26,2016-02-17,52.482635061543796,52.56952551338857,52.09162139892578,52.09162139892578,12473522
27,2016-02-18,52.830193798929905,53.13431697294916,52.56951916024045,52.91708755493164,16986739
28,2016-02-19,52.83019674467905,53.047426174809026,52.656412537643455,52.87364196777344,11352431
29,2016-02-22,52.873641603410235,53.52532988930925,52.61296695198223,52.830196380615234,11614403
30,2016-02-23,53.003980951714645,53.13431993565585,52.74330629849028,52.87364196777344,4916180
31,2016-02-24,52.83019169839962,53.26465051716056,52.308842441749576,52.39573287963867,7764348
32,2016-02-25,52.6564072720527,53.30809549727443,52.56951683455289,53.09086608886719,16933970
33,2016-02-26,53.308097105159675,53.612220274897446,52.917086809959116,53.22120666503906,14513092
34,2016-03-01,53.2212044624743,53.82944746211982,53.09086549302965,53.7425537109375,17236846
35,2016-03-02,54.17702102661133,54.5245894565803,54.09013057644818,54.17702102661133,22870541
36,2016-03-03,54.177015480923195,55.00248793160853,54.177015480923195,54.698368072509766,32602730
37,2016-03-04,54.65493155317458,55.00249668824162,54.524592555862945,54.828712463378906,24050775
